time,car_id,position,velocity,lane,distance,crashes
1, 0, 2.000000, 1.000000, 1, 2.000000, 0
1, 1, 52.000000, 1.000000, 1, 2.000000, 0
2, 0, 4.000000, 1.000000, 1, 4.000000, 0
2, 1, 54.000000, 1.000000, 1, 4.000000, 0
3, 0, 6.000000, 1.000000, 1, 6.000000, 0
3, 1, 56.000000, 1.000000, 1, 6.000000, 0
4, 0, 8.000000, 1.000000, 1, 8.000000, 0
4, 1, 58.000000, 1.000000, 1, 8.000000, 0
5, 0, 10.000000, 1.000000, 1, 10.000000, 0
5, 1, 60.000000, 1.000000, 1, 10.000000, 0
6, 0, 12.000000, 1.000000, 1, 12.000000, 0
6, 1, 62.000000, 1.000000, 1, 12.000000, 0
7, 0, 14.000000, 1.000000, 1, 14.000000, 0
7, 1, 64.000000, 1.000000, 1, 14.000000, 0
8, 0, 16.000000, 1.000000, 1, 16.000000, 0
8, 1, 66.000000, 1.000000, 1, 16.000000, 0
9, 0, 18.000000, 1.000000, 1, 18.000000, 0
9, 1, 68.000000, 1.000000, 1, 18.000000, 0
10, 0, 20.000000, 1.000000, 1, 20.000000, 0
10, 1, 70.000000, 1.000000, 1, 20.000000, 0
11, 0, 22.000000, 1.000000, 1, 22.000000, 0
11, 1, 72.000000, 1.000000, 1, 22.000000, 0
12, 0, 24.000000, 1.000000, 1, 24.000000, 0
12, 1, 74.000000, 1.000000, 1, 24.000000, 0
13, 0, 26.000000, 1.000000, 1, 26.000000, 0
13, 1, 76.000000, 1.000000, 1, 26.000000, 0
14, 0, 28.000000, 1.000000, 1, 28.000000, 0
14, 1, 78.000000, 1.000000, 1, 28.000000, 0
15, 0, 30.000000, 1.000000, 1, 30.000000, 0
15, 1, 80.000000, 1.000000, 1, 30.000000, 0
16, 0, 32.000000, 1.000000, 1, 32.000000, 0
16, 1, 82.000000, 1.000000, 1, 32.000000, 0
17, 0, 34.000000, 1.000000, 1, 34.000000, 0
17, 1, 84.000000, 1.000000, 1, 34.000000, 0
18, 0, 36.000000, 1.000000, 1, 36.000000, 0
18, 1, 86.000000, 1.000000, 1, 36.000000, 0
19, 0, 38.000000, 1.000000, 1, 38.000000, 0
19, 1, 88.000000, 1.000000, 1, 38.000000, 0
20, 0, 40.000000, 1.000000, 1, 40.000000, 0
20, 1, 90.000000, 1.000000, 1, 40.000000, 0
21, 0, 42.000000, 1.000000, 1, 42.000000, 0
21, 1, 92.000000, 1.000000, 1, 42.000000, 0
22, 0, 44.000000, 1.000000, 1, 44.000000, 0
22, 1, 94.000000, 1.000000, 1, 44.000000, 0
23, 0, 46.000000, 1.000000, 1, 46.000000, 0
23, 1, 96.000000, 1.000000, 1, 46.000000, 0
24, 0, 48.000000, 1.000000, 1, 48.000000, 0
24, 1, 98.000000, 1.000000, 1, 48.000000, 0
25, 0, 50.000000, 1.000000, 1, 50.000000, 0
25, 1, 100.000000, 1.000000, 1, 50.000000, 0
26, 0, 52.000000, 1.000000, 1, 52.000000, 0
26, 1, 102.000000, 1.000000, 1, 52.000000, 0
27, 0, 54.000000, 1.000000, 1, 54.000000, 0
27, 1, 104.000000, 1.000000, 1, 54.000000, 0
28, 0, 56.000000, 1.000000, 1, 56.000000, 0
28, 1, 106.000000, 1.000000, 1, 56.000000, 0
29, 0, 58.000000, 1.000000, 1, 58.000000, 0
29, 1, 108.000000, 1.000000, 1, 58.000000, 0
30, 0, 60.000000, 1.000000, 1, 60.000000, 0
30, 1, 110.000000, 1.000000, 1, 60.000000, 0
31, 0, 62.000000, 1.000000, 1, 62.000000, 0
31, 1, 112.000000, 1.000000, 1, 62.000000, 0
32, 0, 64.000000, 1.000000, 1, 64.000000, 0
32, 1, 114.000000, 1.000000, 1, 64.000000, 0
33, 0, 66.000000, 1.000000, 1, 66.000000, 0
33, 1, 116.000000, 1.000000, 1, 66.000000, 0
34, 0, 68.000000, 1.000000, 1, 68.000000, 0
34, 1, 118.000000, 1.000000, 1, 68.000000, 0
35, 0, 70.000000, 1.000000, 1, 70.000000, 0
35, 1, 120.000000, 1.000000, 1, 70.000000, 0
36, 0, 72.000000, 1.000000, 1, 72.000000, 0
36, 1, 122.000000, 1.000000, 1, 72.000000, 0
37, 0, 74.000000, 1.000000, 1, 74.000000, 0
37, 1, 124.000000, 1.000000, 1, 74.000000, 0
38, 0, 76.000000, 1.000000, 1, 76.000000, 0
38, 1, 126.000000, 1.000000, 1, 76.000000, 0
39, 0, 78.000000, 1.000000, 1, 78.000000, 0
39, 1, 128.000000, 1.000000, 1, 78.000000, 0
40, 0, 80.000000, 1.000000, 1, 80.000000, 0
40, 1, 130.000000, 1.000000, 1, 80.000000, 0
41, 0, 82.000000, 1.000000, 1, 82.000000, 0
41, 1, 132.000000, 1.000000, 1, 82.000000, 0
42, 0, 84.000000, 1.000000, 1, 84.000000, 0
42, 1, 134.000000, 1.000000, 1, 84.000000, 0
43, 0, 86.000000, 1.000000, 1, 86.000000, 0
43, 1, 136.000000, 1.000000, 1, 86.000000, 0
44, 0, 88.000000, 1.000000, 1, 88.000000, 0
44, 1, 138.000000, 1.000000, 1, 88.000000, 0
45, 0, 90.000000, 1.000000, 1, 90.000000, 0
45, 1, 140.000000, 1.000000, 1, 90.000000, 0
46, 0, 92.000000, 1.000000, 1, 92.000000, 0
46, 1, 142.000000, 1.000000, 1, 92.000000, 0
47, 0, 94.000000, 1.000000, 1, 94.000000, 0
47, 1, 144.000000, 1.000000, 1, 94.000000, 0
48, 0, 96.000000, 1.000000, 1, 96.000000, 0
48, 1, 146.000000, 1.000000, 1, 96.000000, 0
49, 0, 98.000000, 1.000000, 1, 98.000000, 0
49, 1, 148.000000, 1.000000, 1, 98.000000, 0
50, 0, 100.000000, 1.000000, 1, 100.000000, 0
50, 1, 150.000000, 1.000000, 1, 100.000000, 0
51, 0, 102.000000, 1.000000, 1, 102.000000, 0
51, 1, 152.000000, 1.000000, 1, 102.000000, 0
52, 0, 104.000000, 1.000000, 1, 104.000000, 0
52, 1, 154.000000, 1.000000, 1, 104.000000, 0
53, 0, 106.000000, 1.000000, 1, 106.000000, 0
53, 1, 156.000000, 1.000000, 1, 106.000000, 0
54, 0, 108.000000, 1.000000, 1, 108.000000, 0
54, 1, 158.000000, 1.000000, 1, 108.000000, 0
55, 0, 110.000000, 1.000000, 1, 110.000000, 0
55, 1, 160.000000, 1.000000, 1, 110.000000, 0
56, 0, 112.000000, 1.000000, 1, 112.000000, 0
56, 1, 162.000000, 1.000000, 1, 112.000000, 0
57, 0, 114.000000, 1.000000, 1, 114.000000, 0
57, 1, 164.000000, 1.000000, 1, 114.000000, 0
58, 0, 116.000000, 1.000000, 1, 116.000000, 0
58, 1, 166.000000, 1.000000, 1, 116.000000, 0
59, 0, 118.000000, 1.000000, 1, 118.000000, 0
59, 1, 168.000000, 1.000000, 1, 118.000000, 0
60, 0, 120.000000, 1.000000, 1, 120.000000, 0
60, 1, 170.000000, 1.000000, 1, 120.000000, 0
